"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14767","TC04 - Verify Add Employee Validation","Surefire suite","Mon Dec 29 19:37:25 UTC 2025","failed","Mon Dec 29 19:37:39 UTC 2025","project_orangehrm.Test.PIM_Employee_Test","Surefire test","project_orangehrm.Test.PIM_Employee_Test","verifyEmployee_EmptyFields_ShowError"
"","6466","TC17 - Cleanup: Delete Test Projects and Customer","Surefire suite","Mon Dec 29 19:40:53 UTC 2025","passed","Mon Dec 29 19:41:00 UTC 2025","project_orangehrm.Test.Time_ProjectInfo_Test","Surefire test","project_orangehrm.Test.Time_ProjectInfo_Test","cleanup_DeleteTestData"
"","21786","TC02 - Verify Event Lifecycle: Create, Verify","OrangeHRM_Atomic_Pro_Suite","Mon Dec 29 19:35:38 UTC 2025","failed","Mon Dec 29 19:36:00 UTC 2025","project_orangehrm.Test.Claim_Configuration_Test","Reg_Claim_Config","project_orangehrm.Test.Claim_Configuration_Test","verifyEvent_Lifecycle_Success"
"","3284","TC03 - Verify Employee Claims Search by Reference ID","Surefire suite","Mon Dec 29 19:37:38 UTC 2025","passed","Mon Dec 29 19:37:41 UTC 2025","project_orangehrm.Test.Claim_EmployeeClaims_Test","Surefire test","project_orangehrm.Test.Claim_EmployeeClaims_Test","verifyEmployeeClaims_SearchByReferenceId_Success"
"","2011","TC11 - Verify OAuth Client Validation Errors","Surefire suite","Mon Dec 29 19:40:08 UTC 2025","passed","Mon Dec 29 19:40:10 UTC 2025","project_orangehrm.Test.Admin_Configuration_Test","Surefire test","project_orangehrm.Test.Admin_Configuration_Test","verifyOAuthClient_EmptyFields_ShowError"
"","12793","TC03 - Verify My Reviews Filter by Status","Surefire suite","Mon Dec 29 19:38:29 UTC 2025","broken","Mon Dec 29 19:38:42 UTC 2025","project_orangehrm.Test.Performance_MyReviews_Test","Surefire test","project_orangehrm.Test.Performance_MyReviews_Test","verifyMyReviews_FilterByStatus_Success"
"","2829","TC05 - Verify Employee Claims Search by Status","Surefire suite","Mon Dec 29 19:38:04 UTC 2025","passed","Mon Dec 29 19:38:07 UTC 2025","project_orangehrm.Test.Claim_EmployeeClaims_Test","Surefire test","project_orangehrm.Test.Claim_EmployeeClaims_Test","verifyEmployeeClaims_SearchByStatus_Success"
"","11508","TC16 - Verify error when creating a duplicate Job Category","Surefire suite","Mon Dec 29 19:41:25 UTC 2025","failed","Mon Dec 29 19:41:36 UTC 2025","project_orangehrm.Test.AdminJobTest","Surefire test","project_orangehrm.Test.AdminJobTest","verifyJobCategory_DuplicateEntry_ShowError"
"","10737","TC08 - Verify My Trackers Page Display","Surefire suite","Mon Dec 29 19:40:09 UTC 2025","failed","Mon Dec 29 19:40:20 UTC 2025","project_orangehrm.Test.Performance_MyReviews_Test","Surefire test","project_orangehrm.Test.Performance_MyReviews_Test","verifyMyTrackers_Display_Success"
"","10855","TC20 - Verify Manage Reviews Reset Filters","Surefire suite","Mon Dec 29 19:42:28 UTC 2025","broken","Mon Dec 29 19:42:39 UTC 2025","project_orangehrm.Test.Performance_MyReviews_Test","Surefire test","project_orangehrm.Test.Performance_MyReviews_Test","verifyManageReviews_ResetFilters_Success"
