"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","TC03 - Verify Employee Claims Search by Reference ID","OrangeHRM_Strategic_Suite","Fri Dec 26 15:43:58 UTC 2025","skipped","Fri Dec 26 15:43:58 UTC 2025","project_orangehrm.Test.Claim_EmployeeClaims_Test","Step4_Ops_Claims","project_orangehrm.Test.Claim_EmployeeClaims_Test","verifyEmployeeClaims_SearchByReferenceId_Success"
"","0","TC15 - Verify Search by Hiring Manager","OrangeHRM_Strategic_Suite","Fri Dec 26 15:42:02 UTC 2025","skipped","Fri Dec 26 15:42:02 UTC 2025","project_orangehrm.Test.Recruitment_CandidateWorkflow_Test","Step3_Recruitment","project_orangehrm.Test.Recruitment_CandidateWorkflow_Test","verifyCandidate_SearchByHiringManager_Success"
"","1","setUP","OrangeHRM_Strategic_Suite","Fri Dec 26 15:43:00 UTC 2025","broken","Fri Dec 26 15:43:00 UTC 2025","project_orangehrm.Test.Time_BusinessLogic_Test","Step4_Ops_Time_Logic","project_orangehrm.Test.Time_BusinessLogic_Test","setUP"
"","0","TC12 - Verify updating Employment Status Name","OrangeHRM_Strategic_Suite","Fri Dec 26 15:40:07 UTC 2025","skipped","Fri Dec 26 15:40:07 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Hyper_Admin_PIM_Foundation","project_orangehrm.Test.AdminJobTest","verifyEmploymentStatus_Update_Success"
"","0","TC07 - Verify Employment Status Lifecycle: Create and Delete","OrangeHRM_Strategic_Suite","Fri Dec 26 15:40:07 UTC 2025","skipped","Fri Dec 26 15:40:07 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Hyper_Admin_PIM_Foundation","project_orangehrm.Test.AdminJobTest","verifyEmploymentStatus_Lifecycle_Success"
"","0","TC08 - Verify error when creating a duplicate Education Level","OrangeHRM_Strategic_Suite","Fri Dec 26 15:40:30 UTC 2025","skipped","Fri Dec 26 15:40:30 UTC 2025","project_orangehrm.Test.Admin_Qualifications_Test","Step1_Hyper_Admin_PIM_Foundation","project_orangehrm.Test.Admin_Qualifications_Test","verifyEducation_DuplicateEntry_ShowError"
"","0","TC07 - Verify validation error for empty Education Level","OrangeHRM_Strategic_Suite","Fri Dec 26 15:40:30 UTC 2025","skipped","Fri Dec 26 15:40:30 UTC 2025","project_orangehrm.Test.Admin_Qualifications_Test","Step1_Hyper_Admin_PIM_Foundation","project_orangehrm.Test.Admin_Qualifications_Test","verifyEducation_EmptyFields_ShowError"
"","0","TC03 - Verify Leave List Filter by Status","OrangeHRM_Strategic_Suite","Fri Dec 26 15:43:35 UTC 2025","skipped","Fri Dec 26 15:43:35 UTC 2025","project_orangehrm.Test.Leave_LeaveList_Test","Step4_Ops_Leave_Apply","project_orangehrm.Test.Leave_LeaveList_Test","verifyLeaveList_FilterByStatus_Success"
"","1","TC02 - Verify Review Validation Errors","OrangeHRM_Strategic_Suite","Fri Dec 26 15:44:10 UTC 2025","skipped","Fri Dec 26 15:44:10 UTC 2025","project_orangehrm.Test.Performance_Reviews_Test","Step5_Perf_Reviews","project_orangehrm.Test.Performance_Reviews_Test","verifyReview_EmptyFields_Error"
"","0","TC03 - Search Employee Entitlements","OrangeHRM_Strategic_Suite","Fri Dec 26 15:43:11 UTC 2025","skipped","Fri Dec 26 15:43:11 UTC 2025","project_orangehrm.Test.Leave_Entitlements_Test","Step4_Ops_Leave_Config","project_orangehrm.Test.Leave_Entitlements_Test","verifyEmployeeEntitlements_Search_Success"
"","0","setup","OrangeHRM_Strategic_Suite","Fri Dec 26 15:41:50 UTC 2025","broken","Fri Dec 26 15:41:50 UTC 2025","project_orangehrm.Test.Recruitment_Candidate_E2E_Test","Step3_Recruitment","project_orangehrm.Test.Recruitment_Candidate_E2E_Test","setup"
"","0","TC10 - Verify My Entitlements Display","OrangeHRM_Strategic_Suite","Fri Dec 26 15:43:34 UTC 2025","skipped","Fri Dec 26 15:43:34 UTC 2025","project_orangehrm.Test.Leave_ApplyLeave_Test","Step4_Ops_Leave_Apply","project_orangehrm.Test.Leave_ApplyLeave_Test","verifyMyEntitlements_Display_Success"
"","0","setup","OrangeHRM_Strategic_Suite","Fri Dec 26 15:45:55 UTC 2025","broken","Fri Dec 26 15:45:55 UTC 2025","project_orangehrm.Test.Maintenance_Safety_Test","Step6_Maintenance_Safety","project_orangehrm.Test.Maintenance_Safety_Test","setup"
"","0","TC02 - Cleanup Candidate - Decline Candidate","OrangeHRM_Strategic_Suite","Fri Dec 26 15:46:18 UTC 2025","skipped","Fri Dec 26 15:46:18 UTC 2025","project_orangehrm.TestCleaning.RecruitmentTestCleaning","Step7_Clean_Recruit_Perf","project_orangehrm.TestCleaning.RecruitmentTestCleaning","cleanUpCandidate_DeclineCandidate"
"","0","TC05 - Verify Expense Type: Validate Empty Field","OrangeHRM_Strategic_Suite","Fri Dec 26 15:43:46 UTC 2025","skipped","Fri Dec 26 15:43:46 UTC 2025","project_orangehrm.Test.Claim_Configuration_Test","Step4_Ops_Claims","project_orangehrm.Test.Claim_Configuration_Test","verifyExpenseType_Validate_Field"
"","0","TC01 - Verify Leave Type Lifecycle: Create, Verify, Delete","OrangeHRM_Strategic_Suite","Fri Dec 26 15:43:11 UTC 2025","skipped","Fri Dec 26 15:43:11 UTC 2025","project_orangehrm.Test.Leave_Configuration_Test","Step4_Ops_Leave_Config","project_orangehrm.Test.Leave_Configuration_Test","verifyLeaveType_Lifecycle_Success"
"","0","TC02 - Verify Leave List Filter by Date","OrangeHRM_Strategic_Suite","Fri Dec 26 15:43:35 UTC 2025","skipped","Fri Dec 26 15:43:35 UTC 2025","project_orangehrm.Test.Leave_LeaveList_Test","Step4_Ops_Leave_Apply","project_orangehrm.Test.Leave_LeaveList_Test","verifyLeaveList_FilterByDate_Success"
